genres,id,name,popularity
alternative rock,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80
art rock,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80
melancholia,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80
oxford indie,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80
permanent wave,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80
rock,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80
art pop,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
baltimore indie,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
dream pop,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
dreamo,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
indie rock,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
indietronica,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
modern dream pop,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
pov: indie,56ZTgzPBDge0OvCGgMO3OY,Beach House,72
chiptune,2uDsUIyCIqk9wKj17I8WAH,Yoko Shimomura,55
japanese vgm,2uDsUIyCIqk9wKj17I8WAH,Yoko Shimomura,55
j-acoustic,6ignRjbPmLvKdtMLj9a5Xs,Ichiko Aoba,60
japanese alternative pop,0rFHElzeddB9ymDjgpBENX,Lamp,64
ambient pop,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,82
dream pop,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,82
el paso indie,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,82
shoegaze,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,82
japanese chillhop,4pwqNyMSvuv7VOhQBdjB6Q,eevee,49
lo-fi beats,4pwqNyMSvuv7VOhQBdjB6Q,eevee,49
furry,5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,60
indie rock,5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,60
pov: indie,5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,60
indie pop,3zmfs9cQwzJl575W1ZYXeT,Men I Trust,71
pov: indie,3zmfs9cQwzJl575W1ZYXeT,Men I Trust,71
japanese vgm,4hFBhdNVZZuVk5FYThUwaN,アトラスサウンドチーム,60
bossa nova,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,67
brazilian classical,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,67
brazilian jazz,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,67
latin classical,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,67
mpb,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,67
violao,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,67
hokkaido indie,6ilYV5oF8whllOnm4VZlYR,the pillows,48
edmonton indie,3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,79
lo-fi indie,3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,79
pov: indie,3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,79
hollywood,2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz,62
movie tunes,2snm3HmsnDUDxbIChdl2Oj,Justin Hurwitz,62
anime score,4L0gz16xuM1as1OgYzh1SR,Kensuke Ushio,56
japanese soundtrack,4L0gz16xuM1as1OgYzh1SR,Kensuke Ushio,56
japanese chillhop,5XE0fiZWGbq9TcSuWwJ1fA,potsu,56
lo-fi beats,5XE0fiZWGbq9TcSuWwJ1fA,potsu,56
lo-fi rap,5XE0fiZWGbq9TcSuWwJ1fA,potsu,56
brooklyn indie,2uYWxilOVlUdk4oV9DvwqK,Mitski,84
pov: indie,2uYWxilOVlUdk4oV9DvwqK,Mitski,84
conscious hip hop,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,88
hip hop,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,88
rap,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,88
west coast rap,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,88
j-rock,26ZBeXl5Gqr3TAv2itmyCU,indigo la End,55
japanese indie pop,26ZBeXl5Gqr3TAv2itmyCU,indigo la End,55
anime,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,70
anime score,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,70
japanese classical,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,70
japanese soundtrack,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,70
orchestral soundtrack,7nzSoJISlVJsn7O0yTeMOB,Joe Hisaishi,70
french hip hop,1Yfe3ONJlioHys7jwHdfVm,Lomepal,65
rap conscient,1Yfe3ONJlioHys7jwHdfVm,Lomepal,65
bebop,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
bossa nova,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
cool jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
jazz saxophone,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
latin jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
samba-jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
vocal jazz,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,64
ambeat,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
chillhop,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
downtempo,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
instrumental hip hop,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
japanese chillhop,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
japanese old school hip hop,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
jazz rap,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,63
pixel,4uFZsG1vXrPcvnZ4iSQyrx,C418,70
alternative rock,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
art pop,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
dream pop,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
ethereal wave,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
melancholia,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
new wave,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
scottish indie,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
shoegaze,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
synthpop,5Wabl1lPdNOeIn0SQ5A1mp,Cocteau Twins,63
classic japanese jazz,2Ex4vjQ6mSh5woTlDWto6d,Masayoshi Takanaka,55
bossa nova,64KVQ4YupSZYrGNLduVtj3,Nara Leão,50
brazilian jazz,64KVQ4YupSZYrGNLduVtj3,Nara Leão,50
mpb,64KVQ4YupSZYrGNLduVtj3,Nara Leão,50
samba,64KVQ4YupSZYrGNLduVtj3,Nara Leão,50
tropicalia,64KVQ4YupSZYrGNLduVtj3,Nara Leão,50
velha guarda,64KVQ4YupSZYrGNLduVtj3,Nara Leão,50
anime score,7kSP0XY1UueKCMOGJhIV9N,Masakatsu Takagi,45
j-ambient,7kSP0XY1UueKCMOGJhIV9N,Masakatsu Takagi,45
japanese soundtrack,7kSP0XY1UueKCMOGJhIV9N,Masakatsu Takagi,45
art pop,7w29UYBi0qsHi5RTcv3lmA,Björk,62
electronica,7w29UYBi0qsHi5RTcv3lmA,Björk,62
experimental pop,7w29UYBi0qsHi5RTcv3lmA,Björk,62
experimental vocal,7w29UYBi0qsHi5RTcv3lmA,Björk,62
icelandic experimental,7w29UYBi0qsHi5RTcv3lmA,Björk,62
icelandic pop,7w29UYBi0qsHi5RTcv3lmA,Björk,62
icelandic singer-songwriter,7w29UYBi0qsHi5RTcv3lmA,Björk,62
metropopolis,7w29UYBi0qsHi5RTcv3lmA,Björk,62
permanent wave,7w29UYBi0qsHi5RTcv3lmA,Björk,62
trip hop,7w29UYBi0qsHi5RTcv3lmA,Björk,62
alternative hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
east coast hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
instrumental hip hop,2pAWfrd7WFF3XhVt9GooDL,MF DOOM,74
slowcore,5AyEXCtu3xnnsTGCo4RVZh,Duster,67
europop,0LcJLqbBmaGUft1e9Mm8HV,ABBA,79
swedish pop,0LcJLqbBmaGUft1e9Mm8HV,ABBA,79
crank wave,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
indie rock,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
london indie,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
uk post-punk revival,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road",52
classic japanese jazz,4fP5zCJRf168wiWHG9tR9m,セキトオ・シゲオ,41
british invasion,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
classic rock,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
merseybeat,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
psychedelic rock,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
rock,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,83
classic j-rock,1g8HCTiMwBtFtpRR9JXAZR,Fishmans,43
j-rock,1g8HCTiMwBtFtpRR9JXAZR,Fishmans,43
japanese dream pop,1g8HCTiMwBtFtpRR9JXAZR,Fishmans,43
anime,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
classic city pop,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
japanese new wave,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
techno kayo,5QeCklzEEYSSLWeUxuWeBy,Taeko Onuki,53
anime,1NRrtMvT3o1TI6I8XCuweq,MYTH & ROID,53
j-pixie,1NRrtMvT3o1TI6I8XCuweq,MYTH & ROID,53
hypnagogic pop,7r8EHfxHZHU16sUV3BEH1t,Macabre Plaza,58
utopian virtual,7r8EHfxHZHU16sUV3BEH1t,Macabre Plaza,58
blackgaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
doomgaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
dream pop,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
nu gaze,0FRKTwQSToXpCxYMhyUzYY,Have A Nice Life,54
folktronica,0zGRuj0aQ3mM6i2dQoO8h0,Mid-Air Thief,37
korean indie rock,0zGRuj0aQ3mM6i2dQoO8h0,Mid-Air Thief,37
jazz trio,4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,70
alternative rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
art punk,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
dance rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
funk rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
new wave,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
permanent wave,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
post-punk,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
rock,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
zolo,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,67
abstract hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
alternative hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
psychedelic hip hop,2aoFQUeHD1U7pL098lRsDU,Madvillain,64
gen z singer-songwriter,7gW0r5CkdEUMm42w9XpyZO,Laufey,80
diy emo,4KEHIUSoWCcqrk8AddTE1O,Panchiko,55
city pop,0O1UtbTe4ca7HabaiMhYZ7,KIRINJI,48
j-rock,0O1UtbTe4ca7HabaiMhYZ7,KIRINJI,48
alternative hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
experimental hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
industrial hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
underground hip hop,6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,63
